LAO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
685033;Chief of Staff;Roger Sinaud;1942;1964;1999;SL;School of Mass Combat;Medium;M540033;X
685034;Chief of Staff;Aphay Khou;1933;1964;1999;PA;School of Manoeuvre;Medium;M540034;X
685035;Chief of Staff;Phichith Douangchai;1933;1964;1999;ST;School of Psychology;Medium;M540035;X
685036;Chief of Army;Henri Adeline;1943;1964;1999;SL;Elastic Defence Doctrine;Medium;M540036;X
685037;Chief of Army;Savang Vong;1933;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M540037;X
685038;Chief of Army;Vang Pao;1933;1964;1999;ST;Guns and Butter Doctrine;Medium;M540038;X
685039;Chief of Navy;Maurice Bayrou;1943;1964;1999;SL;Base Control Doctrine;Medium;M540039;X
685040;Chief of Navy;Aphay Khou;1933;1964;1999;PA;Power Projection Doctrine;Medium;M540034;X
685041;Chief of Navy;H.R.H. Souphanou Vong;1933;1964;1999;ST;Open Seas Doctrine;Medium;M540041;X
685042;Chief of Air Force;Pierre de Maismont;1942;1964;1999;SL;Carpet Bombing Doctrine;Medium;M540042;X
685043;Chief of Air Force;Sourith Sasorith;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M540043;X
685044;Chief of Air Force;Vang Pao;1933;1964;1999;ST;Vertical Envelopment Doctrine;Medium;M540038;X
685100;Head of Government;H.R.H. Kindavong;1946;1964;1964;PA;Corporate Suit;Medium;M685100;X
685101;Head of Government;Phoui Sananikone;1950;1964;1964;PA;Old General;Medium;M685101;X
685102;Head of Government;Souvanna Phouma;1952;1989;1989;PA;Corporate Suit;Medium;M685102;X
685103;Head of Government;Katay Don Sasorith;1955;1964;1964;PA;Happy Amateur;Medium;M685103;X
685104;Head of Government;Kou Abhay;1960;1964;1964;LWR;Flamboyant Tough Guy;Medium;M685104;X
685105;Head of State;H.R.H. Souphanouvong;1975;1996;1996;LE;Die-hard Reformer;Medium;LAO3;X
685106;Head of Government;Khamtai Siphandon;1991;2020;2020;LE;Flamboyant Tough Guy;Medium;LAO5;X
685107;Head of State;Kaysone Phomvihane;1975;1993;1993;LE;Popular Figurehead;Medium;LAO2;X
685108;Head of State;Phoumi Vongvichit;1985;1995;1995;LE;Weary Stiffneck;Very High;LAO1;X
685109;Head of Government;Kaysone Phomvihane;1975;1993;1993;LE;Flamboyant Tough Guy;Very High;LAO2;X
685110;Foreign Minister;H.R.H. Souphanouvong;1985;1996;1996;LE;Biased Intellectual;Very High;LAO3;X
685111;Minister of Armament;Nouhak Phoumsavanh;1985;1992;1992;LE;Resource Industrialist;Very High;LAO4;X
685112;Minister of Security;Khamtai Siphandon;1985;2020;2020;LE;Prince of Terror;Very High;LAO5;X
685113;Head of Military Intelligence;Nouhak Phoumsavanh;1985;1992;1992;LE;Industrial Specialist;Very High;LAO4;X
685114;Chief of Staff;Khamtai Siphandon;1985;2020;2020;LE;School of Mass Combat;Very High;LAO5;X
685115;Chief of Army;Khamtai Siphandon;1985;2020;2020;LE;Guns and Butter Doctrine;Very High;LAO5;X
685116;Chief of Navy;Khamtai Siphandon;1985;2020;2020;LE;Indirect Approach Doctrine;Very High;LAO5;X
685117;Chief of Air Force;Khamtai Siphandon;1985;2020;2020;LE;Army Aviation Doctrine;Very High;LAO5;X
685118;Head of State;H.M. Soulivong Savang;1985;1992;1992;LE;Popular Figurehead;Very High;LAO6;X
685119;Head of Government;Vang Pao;1985;1992;1992;LE;Flamboyant Tough Guy;Very High;LAO7;X
685120;Foreign Minister;Vang Pao;1985;1992;1992;LE;General Staffer;Very High;LAO7;X
685121;Minister of Armament;Kong Le;1985;1992;1992;LE;Military Entrepreneur;Very High;LAO8;X
685122;Minister of Security;Khamphoui Sisavatdy;1985;1992;1992;LE;Man of the People;Very High;unknown;X
685123;Head of Military Intelligence;Kong Le;1985;1992;1992;LE;Logistics Specialist;Very High;LAO8;X
685124;Chief of Staff;Bounleuth Saycocie;1985;1992;1992;LE;School of Psychology;Very High;unknown;X
685125;Chief of Army;Bounleuth Saycocie;1985;1992;1992;LE;Guns and Butter Doctrine;Very High;unknown;X
685126;Chief of Navy;Bounleuth Saycocie;1985;1992;1992;LE;Indirect Approach Doctrine;Very High;unknown;X
685127;Chief of Air Force;Bounleuth Saycocie;1985;1992;1992;LE;Army Aviation Doctrine;Very High;unknown;X
685128;Head of State;H.M. Soulivong Savang;1985;2020;2020;PA;Popular Figurehead;High;LAO6;X
685129;Head of Government;H.R.M. Sauryavong Savang;1985;2020;2020;PA;Silent Workhorse;High;LAO9;X
685130;Foreign Minister;Vang Pozeb;1985;2005;2006;PA;Ideological Crusader;Very High;Unknown;X
685131;Minister of Armament;Vang Pao;1985;2011;2012;PA;Administrative Genius;Very High;LAO7;X
685132;Minister of Security;Kong Le;1985;2014;2015;PA;Crime Fighter;Very High;LAO8;X
685133;Head of Military Intelligence;Kong Le;1985;2014;2015;PA;Dismal Enigma;Very High;LAO8;X
685134;Chief of Staff;Hang Sao;1985;2004;2005;PA;School of Defence;Very High;LAO10;X
685135;Chief of Army;Hang Sao;1985;2004;2005;PA;Static Defence Doctrine;Very High;LAO10;X
685136;Chief of Navy;N/A;1936;2020;2020;PA;Generic;Very High;Unknown;X
685137;Chief of Air Force;Hang Sao;1985;2004;2005;PA;Army Aviation Doctrine;Very High;LAO10;X
