LBY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
495034;Minister of Armament;Ahmed Sharif al-Senussi;1902;1917;1934;PA;Military Entrepreneur;Medium;6034;X
495035;Minister of Security;Ahmed Sharif al-Senussi;1902;1917;1934;PA;Man of the People;Medium;6034;X
495036;Head of Military Intelligence;Ahmed Sharif al-Senussi;1902;1917;1934;PA;Logistics Specialist;Medium;6034;X
495037;Head of State;Muhammad Idris al-Senussi;1914;1984;1984;PA;Autocratic Charmer;Medium;6035;X
495038;Head of Government;Muhammad Idris al-Senussi;1914;1984;1984;PA;Smiling Oilman;Medium;6035;X
495039;Foreign Minister;Muhammad Idris al-Senussi;1914;1984;1984;PA;Ideological Crusader;Medium;6035;X
495040;Minister of Armament;Muhammad Idris al-Senussi;1914;1984;1984;PA;Military Entrepreneur;Medium;6035;X
495041;Minister of Security;Muhammad Idris al-Senussi;1914;1984;1984;PA;Man of the People;Medium;6035;X
495042;Head of Military Intelligence;Muhammad Idris al-Senussi;1914;1984;1984;PA;Logistics Specialist;Medium;6035;X
495043;Chief of Staff;Abdurrahman Nafiz Gürman;1914;1933;1933;PA;School of Psychology;Medium;unknownminister;X
495044;Chief of Army;Nuri Killigil;1914;1933;1933;PA;Elastic Defence Doctrine;Medium;3927;X
495045;Chief of Army;Ishak Ferneli;1914;1933;1933;PA;Decisive Battle Doctrine;Medium;unknownminister;X
495046;Chief of Army;Cafer al-Askeri;1914;1933;1933;PA;Guns and Butter Doctrine;Medium;984;X
495100;Head of State;Italo Balbo;1936;1964;1964;FA;Autocratic Charmer;Medium;M495100;X
495101;Head of Government;Italo Balbo;1936;1964;1964;FA;Happy Amateur;Medium;M495101;X
495102;Head of State;Rodolfo Graziani;1940;1964;1964;FA;Stern Imperialist;Medium;M3139;X
495103;Head of Government;Rodolfo Graziani;1940;1964;1964;FA;Smiling Oilman;Medium;M3139;X
495104;Head of State;Ettore Bastico;1941;1964;1964;FA;Popular Figurehead;Medium;L6021;X
495105;Head of Government;Ettore Bastico;1941;1964;1964;FA;Ambitious Union Boss;Medium;L6021;X
495106;Head of State;Giovanni Messe;1943;1964;1964;FA;Pig-headed Isolationist;Medium;M495106;X
495107;Head of Government;Giovanni Messe;1943;1964;1964;FA;Corporate Suit;Medium;M495107;X
495108;Head of State;Travers Robert Blackley;1944;1964;1964;ML;Resigned Generalissimo;Medium;M495108;X
495109;Head of Government;Travers Robert Blackley;1944;1964;1964;ML;Political Protege;Medium;M495109;X
495110;Head of State;Adrian Pelt;1949;1964;1964;ML;Stern Imperialist;Medium;M495110;X
495111;Head of Government;Mahmud al-Muntasir;1951;1970;1981;ML;Flamboyant Tough Guy;Medium;M576015;X
495112;Head of Government;Mustafa Ben Halim;1954;2020;2020;ML;Ambitious Union Boss;Medium;M495112;X
495113;Head of Government;Abdul Majid Kubar;1957;1987;1987;ML;Backroom Backstabber;Medium;M495113;X
495114;Head of Government;Muhammad Osman Said;1960;2008;2008;ML;Old Admiral;Medium;M495114;X
495115;Head of Government;Mohieddin Fikini;1963;1995;1995;ML;Naive Optimist;Medium;M495115;X
495116;Head of Government;Hussein Maziq;1965;2007;2007;ML;Flamboyant Tough Guy;Medium;M495116;X
495117;Head of Government;Abdul Hamid al-Bakkoush;1967;2008;2008;ML;Old Admiral;Medium;M495117;X
495118;Head of Government;Wanis al-Qaddafi;1968;1987;1987;ML;Flamboyant Tough Guy;Medium;M495118;X
495119;Head of Government;Mahmud Sulayman al-Maghribi;1969;2010;2010;LWR;Old Airmarshal;Medium;M495119;X
495120;Head of Government;Muammar al-Gaddafi;1970;2012;2020;LWR;Ambitious Union Boss;Medium;LBY1;X
495121;Head of Government;Abdessalam Jalloud;1972;2020;2020;LWR;Political Protege;Medium;M495121;X
495122;Head of Government;Abdul Ati al-Obeidi;1977;2020;2020;LWR;Flamboyant Tough Guy;Medium;M495122;X
495123;Head of Government;Jadallah Azzuz at-Talhi;1979;2020;2020;LWR;Backroom Backstabber;Medium;M495123;X
495124;Head of Government;Umar Mustafa al-Muntasir;1987;2002;2002;LWR;Corporate Suit;Medium;M495124;X
495125;Head of Government;Abuzed Omar Dorda;1990;2002;2002;LWR;Old General;Medium;M495125;X
495126;Head of State;Muammar al-Gaddafi;1969;2012;2020;LWR;Ruthless Powermonger;Very High;LBY1;X
495127;Head of Government;Muhammad az-Zaruq Rajab;1984;1992;1992;LWR;Happy Amateur;High;LBY2;X
495128;Foreign Minister;Ali Treki;1976;1992;1992;LWR;Apologetic Clerk;High;LBY3;X
495129;Foreign Minister;Moussa Koussa;1985;2020;2020;LWR;The Cloak N Dagger Schemer;High;LBY4;X
495130;Minister of Armament;Abu-Bakr Yunis Jabr;1970;2011;2012;LWR;Military Entrepreneur;High;LBY5;X
495131;Minister of Security;Abdul Fatah Younis;1975;2011;2012;LWR;Crime Fighter;Medium;LBY6;X
495132;Head of Military Intelligence;Abdullah Senussi;1980;2020;2020;LWR;Technical Specialist;Very High;LBY7;X
495133;Head of Military Intelligence;Moussa Koussa;1980;1992;1992;LWR;Political Specialist;Very High;LBY4;X
495134;Chief of Staff;Abu-Bakr Yunis Jabr;1970;2011;2012;LWR;School of Mass Combat;High;LBY5;X
495135;Chief of Army;Abdul Fatah Younis;1980;2011;2012;LWR;Guns and Butter Doctrine;Medium;LBY6;X
495136;Chief of Navy;Abu-Bakr Yunis Jabr;1970;2011;2012;LWR;Indirect Approach Doctrine;High;LBY5;X
495137;Chief of Air Force;Ali Sharif al-Rifi;1980;1992;1992;LWR;Air Superiority Doctrine;High;LBY8;X
495138;Head of State;H.M. Idris II al-Senussi;1979;2020;2020;SC;Resigned Generalissimo;High;LBY11;X
495139;Head of Government;Mohamed Abdelaziz;1985;2020;2020;SC;Silent Workhorse;High;LBY12;X
495140;Foreign Minister;Mohammed al-Magariaf;1985;2020;2020;SC;Great Compromiser;Very High;LBY13;X
495141;Minister of Armament;Ali Tarhouni;1985;2020;2020;SC;Laissez-Faire Capitalist;Very High;LBY14;X
495142;Minister of Security;Abdurrahim El-Keib;1980;2020;2020;SC;Crime Fighter;Very High;LBY15;X
495143;Head of Military Intelligence;Abdurrahim El-Keib;1980;2020;2020;SC;Dismal Enigma;Very High;LBY15;X
495144;Chief of Staff;Ibrahim Abdulaziz Sahad;1980;2020;2020;SC;Generic;Very High;LBY16;X
495145;Chief of Army;Ibrahim Abdulaziz Sahad;1980;2020;2020;SC;Decisive Battle Doctrine;Very High;LBY16;X
495146;Chief of Navy;Ibrahim Abdulaziz Sahad;1980;2020;2020;SC;Indirect Approach Doctrine;Very High;LBY16;X
495147;Chief of Air Force;Ibrahim Abdulaziz Sahad;1980;2020;2020;SC;Air Superiority Doctrine;Very High;LBY16;X
