SUD;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
775024;Minister of Security;Farik Ibrahim Abboud;1942;1964;1999;SD;Silent Lawyer;Medium;M555024;X
775025;Head of Military Intelligence;Edward Brook Haslam;1942;1964;1999;ML;Industrial Specialist;Medium;M555025;X
775026;Head of Military Intelligence;Terrence Graham;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M555026;X
775027;Head of Military Intelligence;Hugh Laverton;1941;1964;1999;PA;Political Specialist;Medium;M555027;X
775028;Head of Military Intelligence;Mohammed Ahmad Yasin;1933;1964;1999;SD;Logistics Specialist;Medium;M555028;X
775029;Chief of Staff;Arthur Drummond Burton;1933;1964;1999;PA;School of Mass Combat;Medium;M555029;X
775030;Chief of Staff;Ibrahim Ahmed Abboud;1933;1964;1999;SD;School of Manoeuvre;Medium;M555030;X
775031;Chief of Army;Sir Richard Craddock;1943;1964;1999;ML;Decisive Battle Doctrine;Medium;M555031;X
775032;Chief of Army;Arthur J. Bennett;1933;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M555032;X
775033;Chief of Army;Ibrahim Ahmed Abboud;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M555030;X
775034;Chief of Navy;Ian Trelawny;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L320016;X
775035;Chief of Navy;Babiker Awadalla;1933;1964;1999;SD;Base Control Doctrine;Medium;M555035;X
775036;Chief of Air Force;Horace R. Campbell;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M555036;X
775037;Chief of Air Force;Seralkhatim Alkhalifa;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M555037;X
775038;Chief of Staff;Gaafar Nimeiry;1953;1964;1999;SD;School of Defence;medium;6088;x
775100;Head of Government;Sir George Stewart Symes;1936;1965;2000;ML;Old Admiral;Medium;M555001;X
775101;Head of State;Sir Herbert J. Huddleston;1940;1965;2000;ML;Insignificant Layman;Medium;M555002;X
775102;Head of State;Sir Robert George Howe;1947;1965;2000;ML;Barking Buffoon;Medium;M775102;X
775103;Head of Government;Sir Robert George Howe;1947;1965;2000;ML;Backroom Backstabber;Medium;M775103;X
775104;Head of Government;Abd-el-Rahman el-Mahdi;1952;1965;2000;ML;Silent Workhorse;Medium;M775104;X
775105;Head of State;Sir Alexander Knox Helm;1954;1965;2000;ML;Powerhungry Demagogue;Medium;M775105;X
775106;Head of Government;Ismail al-Azhari;1954;1965;2000;ML;Corporate Suit;Medium;M555012;X
775107;Head of Government;Abdallah Khalil;1956;1965;2000;PA;Political Protege;Medium;M775107;X
775108;Head of State;Ibrahim Abboud;1958;1965;2000;PA;Pig-headed Isolationist;Medium;M775108;X
775109;Head of Government;Ibrahim Abboud;1958;1965;2000;PA;Happy Amateur;Medium;M775108;X
775110;Head of State;Gaafar Nimeiry;1969;1992;1992;PA;Autocratic Charmer;Very High;SUD1;X
775111;Head of Government;Gaafar Nimeiry;1969;1992;1992;PA;Flamboyant Tough Guy;High;SUD1;X
775112;Foreign Minister;Gaafar Nimeiry;1980;1992;1992;PA;General Staffer;High;SUD2;X
775113;Minister of Armament;Abdel Rahman Suwar al-Dahab;1980;1992;1992;PA;Military Entrepreneur;High;SUD3;X
775114;Minister of Security;Gaafar Nimeiry;1980;1992;1992;PA;Man of the People;Medium;SUD1;X
775115;Head of Military Intelligence;Gaafar Nimeiry;1980;1992;1992;PA;Dismal Enigma;Medium;SUD1;X
775116;Chief of Staff;Gaafar Nimeiry;1980;1992;1992;PA;School of Fire Support;Medium;SUD1;X
775117;Chief of Army;Gaafar Nimeiry;1980;1992;1992;PA;Static Defence Doctrine;Medium;SUD1;X
775118;Chief of Navy;Gaafar Nimeiry;1980;1992;1992;PA;Open Seas Doctrine;Medium;SUD1;X
775119;Chief of Air Force;Gaafar Nimeiry;1980;1992;1992;PA;Army Aviation Doctrine;Medium;SUD1;X
775120;Head of State;Abdel Halim Muhammad;1964;2010;2010;PA;Pig-headed Isolationist;Medium;M775120;X
775121;Head of Government;Sirr Al-Khatim Al-Khalifa;1964;2007;2007;PA;Smiling Oilman;Medium;M775121;X
775122;Head of State;Ismail al-Azhari;1965;1970;1970;PA;Stern Imperialist;Medium;M775122;X
775123;Head of Government;Muhammad Ahmad Mahgoub;1965;1977;1977;PA;Flamboyant Tough Guy;Medium;M775123;X
775124;Head of Government;Sadiq al-Mahdi;1966;2020;2020;PA;Smiling Oilman;Medium;M775124;X
775125;Head of Government;Rashid Bakr;1976;1990;1990;PA;Happy Amateur;Medium;M775125;X
775126;Head of State;Abdel Rahman Swar al-Dahab;1985;2020;2020;PA;Autocratic Charmer;Medium;SUD3;X
775127;Head of Government;Al-Jazuli Daf'allah;1985;2020;2020;PA;Corporate Suit;Medium;M775127;X
775128;Head of State;Ahmed al-Mirghani;1986;2009;2009;PA;Die-hard Reformer;Medium;M775128;X
775129;Head of State;Omar al-Bashir;1989;2020;2020;PA;Popular Figurehead;Medium;M775129;X
775130;Head of Government;Zubair Mohamed Salih;1989;1999;1999;PA;Smiling Oilman;Medium;M775130;X
775131;Head of State;M.M. Fuad II;1980;2020;2020;PA;Benevolent Gentleman;High;M340225;X
