TRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
540035;Head of Military Intelligence;Mikhail Kolchov;1933;1964;1999;SC;Political Specialist;Medium;M525035;X
540036;Head of Military Intelligence;Vsevolod Meyerhold;1933;1964;1999;SC;Logistics Specialist;Medium;M525036;X
540037;Chief of Staff;Piotr A. Barabanov;1933;1964;1999;SD;School of Psychology;Medium;M525037;X
540038;Chief of Staff;Shuntzha Raevs;1933;1964;1999;SC;School of Mass Combat;Medium;M525038;X
540039;Chief of Army;Sergei P. Baranov;1933;1964;1999;SD;Decisive Battle Doctrine;Medium;M525039;X
540040;Chief of Army;Lavrenti Berlin;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M525040;X
540041;Chief of Navy;Aleksandr Baturin;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M525010;X
540042;Chief of Navy;Yaghood Filipev;1933;1964;1999;SC;Indirect Approach Doctrine;Medium;M525042;X
540043;Chief of Air Force;Ismael Petrikov;1933;1964;1999;SC;Army Aviation Doctrine;Medium;M525043;X
540044;Chief of Air Force;Enan Zadorozhny;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M525044;X
540100;Head of State;Yakov Popok;1936;1964;1964;ST;Popular Figurehead;Medium;M525004;X
540101;Head of Government;Kaikhaziz Atabayev;1936;1964;1964;ST;Old Airmarshal;Medium;M525001;X
540102;Head of State;Yakov Chubin;1937;1964;1964;ST;Popular Figurehead;Medium;M540102;X
540103;Head of Government;Aitbay Khudaybergenov;1937;1964;1964;ST;Silent Workhorse;Medium;M540103;X
540104;Head of State;Mikhail Fonin;1940;1964;1964;ST;Die-Hard Reformer;Medium;M540104;X
540105;Head of Government;Sukhan Babayev;1945;1964;1964;ST;Naive Optimist;Medium;M540105;X
540106;Head of State;Shadzha Batyrov;1947;1964;1964;ST;Powerhungry Demagogue;Medium;M525015;X
540107;Head of State;Sukhan Babayev;1951;1964;1964;ST;Barking Buffoon;Medium;M540105;X
540108;Head of Government;Balysh Ovezov;1951;1964;1964;ST;Backroom Backstabber;Medium;M540108;X
540109;Head of Government;Dzhuma Durdy Karayev;1958;1964;1964;LE;Old Airmarshal;Medium;M540109;X
540110;Head of State;Dzhuma Durdy Karayev;1959;1964;1964;LE;Stern Imperialist;Medium;M540109;X
540111;Head of Government;Balysh Ovezov;1959;1964;1964;LE;Old Admiral;Medium;M540111;X
540112;Head of State;Balysh Ovezov;1960;1964;1964;LE;Powerhungry Demagogue;Medium;M540111;X
540113;Head of Government;Abdy Annaliyev;1960;1964;1964;LE;Smiling Oilman;Medium;M540113;X
540114;Head of Government;Muhammetnazar Gapurow;1963;2000;2000;LE;Ambitious Union Boss;Medium;M540114;X
540115;Head of State;Muhammetnazar Gapurow;1969;2000;2000;LE;Pig-Headed Isolationist;Medium;M540114;X
540116;Head of Government;Oraz Orazmuhammedow;1969;1980;1980;LE;Backroom Backstabber;Medium;M540116;X
540117;Head of Government;Bally Yazkuliyev;1975;1980;1980;LE;Happy Amateur;Medium;M540117;X
540118;Head of Government;Chary Karriyev;1978;1990;1990;LE;Political Protege;Medium;M540118;X
540119;Head of State;Saparmurat Niyazov;1985;2007;2007;LE;Barking Buffoon;Medium;M540119;X
540120;Head of Government;Saparmurat Niyazov;1985;2007;2007;LE;Old Airmarshal;Medium;M540119;X
540121;Head of Government;Annamurat Hojamyradow;1986;1990;1990;LE;Smiling Oilman;Medium;M540121;X
540122;Head of Government;Han Ahmedow;1989;2007;2007;LWR;Happy Amateur;Medium;M540122;X
