SYR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
430036;Minister of Security;André Salvat;1941;1964;1999;SL;Crime Fighter;Medium;M528036;X
430037;Minister of Security;Jamil Chakrura;1943;1964;1999;SL;Back Stabber;Medium;M528037;X
430038;Minister of Security;Jean Abdel Foukha;1945;1964;1999;SL;Compassionate Gentleman;Medium;M528038;X
430039;Minister of Security;Faris al-Khouri;1933;1964;1999;SC;Man of the People;Medium;M528004;X
430040;Head of Military Intelligence;Henri Dentz;1938;1964;1999;PA;Logistics Specialist;Medium;9887;X
430041;Head of Military Intelligence;Gabriel Puaux;1938;1964;1999;SL;Industrial Specialist;Medium;M528008;X
430042;Head of Military Intelligence;Georges Catroux;1941;1964;1999;SL;Dismal Enigma;Medium;L24029;X
430043;Head of Military Intelligence;Yves Chataigneau;1943;1964;1999;SL;Political Specialist;Medium;M528020;X
430044;Head of Military Intelligence;Shaykh Muhammed al-Gawzi;1933;1964;1999;SC;Industrial Specialist;Medium;M528024;X
430045;Chief of Staff;Henri Dentz;1933;1964;1999;PA;School of Defence;Medium;9887;X
430046;Chief of Staff;Lucien Cambas;1941;1964;1999;SL;School of Manoeuvre;Medium;M528046;X
430047;Chief of Staff;Hussein al-Zaim;1945;1964;1999;SL;School of Mass Combat;Medium;M528047;X
430048;Chief of Staff;Shaykh Muhammed al-Gawzi;1933;1964;1999;SC;School of Fire Support;Medium;M528024;X
430049;Chief of Army;Fawzi al-Quawugji;1933;1964;1999;PA;Static Defence Doctrine;Medium;M528049;X
430050;Chief of Army;Georges Catroux;1941;1964;1999;SL;Decisive Battle Doctrine;Medium;L24029;X
430051;Chief of Army;Adib al-Shishakli;1945;1964;1999;SL;Guns and Butter Doctrine;Medium;M528051;X
430052;Chief of Army;Bernard Duperier;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M528052;X
430053;Chief of Navy;Shaykh Muhammed al-Gawzi;1933;1964;1999;PA;Base Control Doctrine;Medium;M528024;X
430054;Chief of Navy;Omar Abrash;1945;1964;1999;SL;Open Seas Doctrine;Medium;M528054;X
430055;Chief of Navy;Yves Morandat;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M528005;X
430056;Chief of Air Force;Hussein al-Zaim;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M528047;X
430057;Chief of Air Force;Henri Amiel;1945;1964;1999;SL;Army Aviation Doctrine;Medium;M528007;X
430058;Chief of Air Force;Henri Amiel;1933;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M528007;X
430059;Minister of Armament;Amir Mustafa al-Shihabi;1940;1964;1999;PA;Laissez-Faire Capitalist;High;M528059;X
430060;Head of State;Hussein al-Zaim;1949;1964;1999;SL;Resigned Generalissimo;High;M528047;X
430061;Head of State;Fawzi as Silu;1951;1964;1999;SL;Barking Buffoon;High;M528061;X
430062;Head of State;Adib al-Shishakli;1953;1964;1999;SL;Powerhungry Demagogue;High;M528051;X
430063;Head of Government;Khalid al Azm;1941;1964;1999;SL;Flamboyant Tough Guy;High;M528063;X
430064;Head of Government;Hussein al-Zaim;1949;1964;1999;SL;Old General;High;M528047;X
430065;Head of Government;Muhsin al Barazi;1949;1964;1999;SL;Silent Workhorse;High;M528065;X
430066;Head of Government;Hassim al-Atassi;1949;1964;1999;SL;Happy Amateur;High;M528012;X
430067;Head of Government;Nazim al Kudsi;1950;1964;1999;SL;Ambitious Union Boss;High;M528067;X
430068;Head of Government;Hassan al Hakim;1941;1964;1999;SL;Smiling Oilman;High;M528068;X
430069;Head of Government;Fawzi as Silu;1951;1964;1999;SL;Old General;High;M528061;X
430070;Head of Government;Adib al-Shishakli;1953;1964;1999;SL;Corporate Suit;High;M528051;X
430071;Chief of Staff;Fawzi as Silu;1949;1964;1999;SL;School of Defence;Medium;M528061;X
430072;Minister of Armament;Khalid al Azm;1946;1964;1999;SL;Resource Industrialist;Medium;M528063;X
430073;Foreign Minister;Muhsin al Barazi;1939;1964;1999;SL;Apologetic Clerk;High;M528065;X
430074;Minister of Security;Nazim al Kudsi;1943;1964;1999;SL;Silent Lawyer;Medium;M528067;X
430075;Minister of Armament;Hassan al Hakim;1949;1964;1999;SL;Air to Ground Proponent;Medium;M528068;X
430076;Head of Military Intelligence;Sami Hinnawi;1944;1964;1999;SL;Logistics Specialist;Medium;M528076;X
430077;Chief of Air Force;Khaleed al Razi;1949;1964;1999;SL;Carpet Bombing Doctrine;Medium;M528077;X
430078;Minister of Armament;Michel Aflaq;1945;1964;1999;SD;Laissez-Faire Capitalist;High;6060;X
430079;Chief of Staff;Fawzi al-Qawuqji;1947;1964;1999;PA;School of Defence;High;6061;X
430080;Minister of Armament;Hafez al-Assad;1958;1964;1999;SC;Air Superiority Proponent;High;6062;X
430081;Chief of Staff;Mustafa Tlass;1961;1964;1999;SC;School of Manoeuvre;High;6063;X
430082;Chief of Staff;Sultan al-Atrash;1937;1964;1999;SD;School of Defence;Very High;6064;X
430083;Chief of Staff;Sultan al-Atrash;1937;1964;1999;SL;School of Defence;Very High;6064;X
430084;Foreign Minister;Sultan al-Atrash;1939;1964;1999;SL;Great Compromiser;Very High;6064;X
430085;Foreign Minister;Sultan al-Atrash;1939;1964;1999;SD;Great Compromiser;Very High;6064;X
430086;Foreign Minister;Salah al-Din al-Bitar;1956;1964;1999;SD;Ideological Crusader;High;6065;X
430087;Head of Government;Antun Saadeh;1947;1964;1999;FA;Naive Optimist;High;6066;X
430088;Foreign Minister;Antun Saadeh;1947;1964;1999;FA;Biased Intellectual;High;6066;X
430200;Head of Government;Ata al-Ayyubi;1936;1964;1964;SD;Old General;Medium;M430200;X
430201;Head of Government;Bahij ad din al-Khatib;1939;1964;1964;SD;Silent Workhorse;Medium;M528013;X
430202;Head of State;Khalid al-Azm;1941;1964;1964;SD;Stern Imperialist;Medium;M528063;X
430203;Head of Government;Khalid al-Azm;1941;1964;1964;SD;Corporate Suit;Medium;M528063;X
430204;Head of Government;Husni al-Barazi;1942;1964;1964;SD;Ambitious Union Boss;Medium;M430204;X
430205;Head of State;Ata al-Ayyubi;1943;1964;1964;SD;Weary Stiffneck;Medium;M430200;X
430206;Head of Government;Saadallah al-Jabiri;1944;1964;1964;SD;Smiling Oilman;Medium;M528026;X
430207;Head of Government;Faris al-Khouri;1945;1964;1964;SD;Smiling Oilman;Medium;M528004;X
430208;Head of Government;Sabri al-Assali;1954;1964;1964;SC;Ambitious Union Boss;Medium;M430208;X
430209;Head of Government;Said al-Ghazzi;1956;1964;1964;SC;Old Airmarshal;Medium;M430209;X
430210;Head of State;Nazim al-Kudsi;1961;1964;1964;SD;Weary Stiffneck;Medium;M430210;X
430211;Head of Government;Maarouf al-Dawalibi;1961;1964;1964;SD;Corporate Suit;Medium;M430211;X
430212;Head of Government;Bashir al-Azma;1962;1964;1964;SD;Old Admiral;Medium;M430212;X
430213;Head of State;Amin al-Hafiz;1963;2010;2010;PA;Stern Imperialist;Medium;M430213;X
430214;Head of Government;Salah al-Din al-Bitar;1963;1981;1981;PA;Old General;Medium;M430214;X
430215;Head of State;Hafez al-Assad;1971;2001;2001;LWR;Stern Imperialist;High;SYR1;X
430216;Head of Government;Hafez al-Assad;1970;2001;2001;LWR;Ambitious Union Boss;High;SYR1;X
430217;Foreign Minister;Farouk al-Sharaa;1984;1992;1992;LWR;Great Compromiser;High;SYR2;X
430218;Minister of Armament;Mustafa Tlass;1984;1992;1992;LWR;Military Entrepreneur;High;SYR3;X
430219;Minister of Security;Fu'ad Absi;1984;1992;1992;LWR;Prince of Terror;High;unknown;X
430220;Head of Military Intelligence;Muhammad al-Khuli;1984;1992;1992;LWR;Logistics Specialist;High;unknown;X
430221;Chief of Staff;Hikmat al-Shihabi;1984;1992;1992;LWR;School of Fire Support;High;SYR4;X
430222;Chief of Army;Hikmat al-Shihabi;1984;1992;1992;LWR;Armoured Spearhead Doctrine;High;SYR4;X
430223;Chief of Navy;Hikmat al-Shihabi;1984;1992;1992;LWR;Indirect Approach Doctrine;High;SYR4;X
430224;Chief of Air Force;Hikmat al-Shihabi;1984;1992;1992;LWR;Army Aviation Doctrine;High;SYR4;X
430225;Head of Government;Amin al-Hafiz;1964;2010;2010;PA;Political Protege;Medium;M430213;X
430226;Head of State;Nureddin al-Atassi;1966;1993;1993;PA;Ruthless Powermonger;Medium;M430226;X
430227;Head of Government;Yusuf Zu'ayyin;1966;1980;1980;PA;Flamboyant Tough Guy;Medium;M430227;X
430228;Head of Government;Nureddin al-Atassi;1968;1993;1993;PA;Corporate Suit;Medium;M430226;X
430229;Head of Government;Abdul Rahman Khleifawi;1971;2010;2010;LWR;Flamboyant Tough Guy;Medium;M430229;X
430230;Head of Government;Mahmoud al-Ayyubi;1972;2020;2020;LWR;Happy Amateur;Medium;M430230;X
430231;Head of Government;Muhammad Ali al-Halabi;1978;2020;2020;LWR;Flamboyant Tough Guy;Medium;M430231;X
430232;Head of Government;Abdul Rauf al-Kasm;1980;2020;2020;LWR;Silent Workhorse;Medium;M430232;X
430233;Head of Government;Mahmoud Zuabi;1987;2001;2001;LWR;Flamboyant Tough Guy;Medium;M430233;X
