TUN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
535030;Minister of Security;Mongi Slim;1933;1964;1999;SD;Crime Fighter;Medium;M532030;X
535031;Minister of Security;Ferhat Keltoum;1943;1964;1999;SL;Compassionate Gentleman;Medium;M532031;X
535032;Minister of Security;Hedi Nouira;1933;1964;1999;SC;Back Stabber;Medium;M532032;X
535033;Head of Military Intelligence;Habib Bourguiba;1933;1964;1999;SD;Technical Specialist;Medium;M532015;X
535034;Head of Military Intelligence;André Lichtwitz;1941;1964;1999;SL;Political Specialist;Medium;M532034;X
535035;Head of Military Intelligence;Hamouda Shadrani;1933;1964;1999;SC;Dismal Enigma;Medium;M532019;X
535036;Chief of Staff;Jean Laurent-Champrosay;1933;1964;1999;SD;School of Fire Support;Medium;M532036;X
535037;Chief of Staff;Jacques Massu;1943;1964;1999;SL;School of Psychology;Medium;M532037;X
535038;Chief of Staff;Jacques Sevestre;1933;1964;1999;SC;School of Mass Combat;Medium;M532038;X
535039;Chief of Army;Emile Couladon;1943;1964;1999;SL;Decisive Battle Doctrine;Medium;M532039;X
535040;Chief of Army;Henri d'Astier de la Vigerie;1933;1964;1999;SC;Static Defence Doctrine;Medium;M532007;X
535041;Chief of Army;Emile Ginas;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;M532010;X
535042;Chief of Navy;Djellouli Fares;1933;1964;1999;SD;Base Control Doctrine;Medium;M532042;X
535043;Chief of Navy;Jacques Sevestre;1943;1964;1999;SL;Indirect Approach Doctrine;Medium;M532038;X
535044;Chief of Navy;Sadok Mokkadem;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M532044;X
535045;Chief of Air Force;Abdallah Farhat;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M532045;X
535046;Chief of Air Force;Emile Allegret;1943;1964;1999;SL;Carpet Bombing Doctrine;Medium;M532046;X
535047;Chief of Air Force;Ahmed Tlili;1933;1964;1999;SC;Naval Aviation Doctrine;Medium;M532047;X
535100;Head of Government;Shaykh Tahar ben Ammar;1954;1965;1971;SC;Flamboyant Tough Guy;Medium;M532011;X
535101;Head of State;Habib Bourguiba;1957;2001;2001;SD;Autocratic Charmer;Medium;M532015;X
535102;Head of Government;Mohamed Mzali;1985;2011;2011;SD;Naive Optimist;High;TUN2;X
535103;Foreign Minister;Beji Caid el Sebsi;1985;2020;2020;SD;Great Compromiser;High;TUN3;X
535104;Minister of Armament;Rachid Sfar;1985;2020;2020;SD;Resource Industrialist;High;TUN4;X
535105;Minister of Security;Zine El Abidine Ben Ali;1985;2020;2020;SD;Crooked Kleptocrat;High;TUN5;X
535106;Head of Military Intelligence;Habib Bourguiba;1985;2001;2001;LWR;Logistics Specialist;Very High;TUN1;X
535107;Chief of Staff;Habib Bourguiba;1985;2001;2001;LWR;School of Manoeuvre;Very High;TUN1;X
535108;Chief of Army;Habib Bourguiba;1985;2001;2001;LWR;Guns and Butter Doctrine;Very High;TUN1;X
535109;Chief of Navy;Habib Bourguiba;1985;2001;2001;LWR;Open Seas Doctrine;Very High;TUN1;X
535110;Chief of Air Force;Habib Bourguiba;1985;2001;2001;LWR;Army Aviation Doctrine;Very High;TUN1;X
535111;Head of Government;Bahi Ladgham;1969;1999;1999;SD;Happy Amateur;Very High;M532020;X
535112;Head of Government;Hedi Amara Nouira;1970;1994;1994;SD;Flamboyant Tough Guy;Very High;M535112;X
535113;Head of Government;Mohammed Mzali;1980;2011;2011;SD;Backroom Backstabber;Very High;TUN2;X
535114;Head of Government;Rachid Sfar;1986;2020;2020;SD;Naive Optimist;Very High;TUN4;X
535115;Head of State;Zine El Abidine Ben Ali;1987;2020;2020;SD;Benevolent Gentleman;Very High;TUN5;X
535116;Head of Government;Hédi Baccouche;1987;2020;2020;SD;Corporate Suit;Very High;M535116;X
535117;Head of Government;Hamed Karoui;1989;2020;2020;SD;Backroom Backstabber;Very High;M535117;X
535118;Head of State;H.M. Murad al-Husain;1969;2005;2006;PA;Weary Stiffneck;High;Unknown;X
535119;Head of Government;Rached Ghannouchi;1985;2020;2020;SC;Ambitious Union Boss;High;;X
535120;Foreign Minister;Moncef Ben Salem;1985;2015;2016;SC;Biased Intellectual;Very High;TUN11;X
535121;Minister of Armament;Hamadi Jebali;1985;2020;2020;SC;Theoretical Scientist;Very High;TUN12;X
535122;Minister of Security;Ali Laarayedh;1985;2020;2020;SC;Crime Fighter;Very High;TUN13;X
535123;Head of Military Intelligence;Ali Laarayedh;1985;2020;2020;SC;Political Specialist;Very High;TUN13;X
535124;Chief of Staff;Mustapha Saheb Ettabaa;1985;2020;2020;SC;School of Defence;Very High;TUN14;X
535125;Chief of Army;Mustapha Saheb Ettabaa;1985;2020;2020;SC;Static Defence Doctrine;Very High;TUN14;X
535126;Chief of Navy;Mustapha Saheb Ettabaa;1985;2020;2020;SC;Base Control Doctrine;Very High;TUN14;X
535127;Chief of Air Force;Mustapha Saheb Ettabaa;1985;2020;2020;SC;Army Aviation Doctrine;Very High;TUN14;X
